difficulty,threads,millisecond,latency
1,1,0.001000,0.001000
1,10,3.338000,0.333800
1,50,15.540000,0.310800
1,100,45.811000,0.458110
2,1,0.001000,0.001000
2,10,1.662000,0.166200
2,50,12.953000,0.259060
2,100,44.030000,0.440300
3,1,0.000000,0.000000
3,10,1.617000,0.161700
3,50,12.895000,0.257900
3,100,42.309000,0.423090
